"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","4","Booking website search functionality","0","0","Search for hotels in Europe","0"
"0","","4","Booking website search functionality","0","0","Search2 for hotels in America","0"
